time_msec,throughput,current_buffer,current_playing_segment
108814,1787.08,28.051,53
108916,1725.15,27.971,54
109020,1787.08,27.861,54
109125,1675.38,27.761,54
109229,1787.08,27.651,54
109331,1822.12,27.552,54
109437,1770.06,27.441,54
109538,1858.56,27.341,54
109640,1725.15,27.241,54
109744,1563.69,27.141,54
109847,1014.99,27.041,54
109948,1742.4,26.931,54
110050,1708.24,26.831,54
110153,2368.31,26.732,54
110270,213.386,28.611,54
110373,1578.87,28.511,54
110476,1822.12,28.411,54
110578,2163.76,28.3,54
110680,1495.13,28.201,54
110784,1466.1,28.101,54
110886,2163.76,28.001,54
110986,1626.24,27.921,55
111092,1659.43,27.81,55
111196,2122.15,27.711,55
111302,1880.69,27.601,55
111411,1398.22,27.491,55
111512,1955.17,27.391,55
111652,654,29.251,55
111755,1138.82,29.151,55
111860,2904,29.04,55
111966,1205.43,28.941,55
112072,1880.69,28.83,55
112175,2049.88,28.731,55
112285,1478.4,28.621,55
112392,1972.53,28.511,55
112494,1708.24,28.411,55
112602,1720.89,28.3,55
112705,1708.24,28.201,55
112807,1840.16,28.1,55
112910,1691.65,28,56
113011,1840.16,27.91,56
113116,1787.08,27.81,56
113220,1787.08,27.7,56
113388,751.245,29.53,56
113493,1675.38,29.43,56
113598,1675.38,29.32,56
113700,1366.59,29.221,56
113938,749.097,28.98,56
114042,4591.84,28.881,56
114148,1534.19,28.77,56
114248,1742.4,28.67,56
114352,1898.77,28.57,56
114456,1578.87,28.47,56
114559,1822.12,28.36,56
114666,1519.85,28.261,56
114859,322.019,30.06,56
114969,1598.53,29.97,57
115071,2049.88,29.871,57
115172,1393.92,29.77,57
115272,2207.04,29.671,57
115376,1804.43,29.571,57
115478,1480.47,29.461,57
115581,2163.76,29.361,57
115682,1610.14,29.261,57
115790,1628.41,29.15,57
115893,1594.35,29.05,57
115999,1659.43,28.941,57
116107,1519.85,28.841,57
116218,1360.43,28.721,57
116321,2029.98,28.621,57
116424,1594.35,28.521,57
116530,1205.43,28.41,57
116634,1466.1,28.311,57
116739,1770.06,28.201,57
116905,885.903,30.041,57
117009,1452,29.95,58
117118,860.444,29.84,58
117219,1610.14,29.74,58
117323,1578.87,29.64,58
117426,1691.65,29.541,58
117528,805.069,29.431,58
117628,1626.24,29.331,58
117732,1127.77,29.231,58
117835,1240.54,29.13,58
117940,1777.38,29.021,58
118070,184.205,30.89,58
118176,1205.43,30.791,58
118278,1495.13,30.68,58
118380,1936,30.58,58
118483,1138.82,30.48,58
118590,1315.02,30.37,58
118690,1277.76,30.27,58
118792,1138.82,30.171,58
118902,1172.26,30.06,58
119002,1161.6,29.98,59
119104,1366.59,29.88,59
119206,1380.12,29.781,59
119317,844.8,29.67,59
119424,1085.61,29.56,59
119526,1138.82,29.46,59
119680,711,31.301,59
119799,976.134,31.181,59
119910,633.6,31.07,59
120013,1024.94,30.971,59
120119,1424.6,30.86,59
120220,1045.44,30.761,59
120330,950.4,30.65,59
120432,1024.94,30.55,59
120545,1037.14,30.44,59
120652,986.264,30.331,59
120754,1024.94,30.231,59
120866,1046.49,30.121,59
120982,1001.38,30,60
121092,852.55,29.901,60
121197,893.538,29.801,60
121299,911.059,29.691,60
121408,852.55,29.581,60
121514,876.679,29.481,60
121619,893.538,29.371,60
121724,885.029,29.271,60
121847,94.6286,31.141,60
121953,885.029,31.041,60
122056,797.176,30.941,60
122168,837.189,30.821,60
123006,239.58,30,61
123119,4493.88,29.89,61
123228,752.889,29.781,61
123342,616.779,29.67,61
123452,739.2,29.56,61
123568,404.035,29.441,61
123682,616.779,29.331,61
123791,745.982,29.22,61
123901,528,29.11,61
124018,595.692,28.99,61
124137,590.644,28.881,61
124258,576,28.749,61
124369,633.6,28.64,61
124473,446.769,28.54,61
124579,442.514,28.431,61
124685,438.34,28.33,61
124791,438.34,28.22,61
124909,492.203,28.1,61
125015,442.514,28,62
125121,442.514,27.9,62
